Index,Country,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
62,South Africa,Country/Area,13628,13922,14226,14542,14868,15207,15557,15921,16299,16691,17100,17525,17966,18423,18896,19385,19888,20407,20942,21496,22070,22665,23282,23913,24553,25195,25837,26481,27139,27827,28557,29333,30150,30994,31842,32679,33496,34298,35101,35930,36801,37719,38673,39634,40564,41436,42241,42987,43682,44339,44968,45571,46151,46719,47292,47881,48489,49120,49779,50477,51217,52004,52833,53687,54544,55386,56208,57010,57793,58558,59309
64,Benin,Country/Area,2255,2258,2265,2274,2287,2304,2323,2346,2371,2400,2432,2466,2503,2543,2586,2632,2682,2735,2792,2851,2912,2977,3044,3114,3187,3265,3347,3433,3524,3619,3717,3820,3928,4040,4157,4279,4405,4535,4673,4820,4978,5149,5332,5522,5714,5906,6094,6282,6470,6664,6866,7077,7295,7521,7750,7982,8217,8455,8697,8945,9199,9461,9729,10005,10287,10576,10872,11175,11485,11801,12123
65,Burkina Faso,Country/Area,4284,4324,4367,4413,4463,4517,4575,4636,4699,4764,4829,4895,4960,5028,5099,5175,5256,5343,5434,5528,5625,5723,5825,5930,6040,6155,6274,6399,6531,6672,6823,6985,7158,7341,7531,7728,7931,8140,8356,8580,8811,9050,9297,9552,9817,10090,10373,10666,10969,11283,11608,11945,12293,12655,13031,13422,13829,14252,14690,15141,15605,16082,16571,17073,17586,18111,18646,19193,19751,20321,20903
66,Cabo Verde,Country/Area,178,186,191,195,196,197,197,198,198,199,202,205,210,216,223,230,239,248,256,263,269,271,272,271,270,270,271,273,276,280,284,289,294,300,306,312,317,321,326,331,338,346,356,366,376,386,396,404,413,420,428,436,443,450,457,463,469,475,481,487,493,499,505,512,518,525,531,537,544,550,556
67,Cote d'Ivoire,Country/Area,2630,2691,2761,2838,2920,3004,3092,3184,3282,3387,3504,3632,3771,3919,4071,4227,4384,4544,4713,4897,5102,5329,5576,5842,6121,6412,6714,7026,7350,7686,8034,8394,8765,9145,9530,9918,10307,10698,11095,11502,11925,12362,12812,13272,13735,14200,14665,15131,15589,16033,16455,16853,17232,17600,17970,18355,18755,19171,19606,20059,20533,21029,21547,22088,22648,23226,23823,24437,25069,25717,26378
68,Gambia,Country/Area,305,309,314,318,324,330,336,343,350,358,365,372,380,388,396,405,415,427,439,451,464,478,492,507,523,540,558,577,597,617,637,658,678,700,726,756,791,831,873,916,956,993,1027,1061,1094,1129,1164,1201,1238,1277,1318,1360,1404,1450,1497,1544,1591,1640,1689,1740,1793,1848,1905,1964,2024,2086,2149,2214,2280,2348,2417
69,Ghana,Country/Area,5036,5140,5269,5413,5569,5731,5897,6069,6247,6435,6635,6848,7072,7300,7524,7739,7941,8133,8322,8520,8735,8973,9230,9494,9749,9986,10199,10395,10590,10805,11056,11348,11677,12034,12406,12784,13165,13552,13947,14353,14773,15207,15653,16107,16562,17014,17463,17909,18357,18812,19279,19757,20246,20750,21272,21815,22379,22964,23564,24171,24780,25388,25996,26608,27224,27849,28482,29121,29767,30418,31073
70,Guinea,Country/Area,3013,3054,3096,3138,3183,3230,3278,3330,3383,3438,3494,3552,3611,3673,3736,3802,3870,3941,4013,4085,4155,4223,4291,4357,4424,4491,4559,4629,4702,4782,4871,4970,5077,5195,5326,5471,5629,5801,5982,6167,6352,6535,6716,6897,7081,7270,7464,7662,7861,8055,8241,8417,8586,8753,8926,9110,9307,9518,9739,9964,10192,10420,10652,10893,11151,11432,11738,12068,12414,12771,13133
71,Guinea-Bissau,Country/Area,535,544,553,560,568,576,584,593,601,609,616,623,629,635,642,650,659,669,680,692,705,718,733,746,758,766,770,772,772,775,782,794,810,830,851,872,893,913,933,954,975,998,1020,1043,1066,1089,1111,1133,1154,1177,1201,1227,1254,1283,1313,1345,1378,1412,1447,1484,1523,1563,1605,1648,1692,1737,1782,1828,1874,1921,1968
72,Liberia,Country/Area,930,944,959,975,993,1011,1031,1052,1073,1096,1119,1142,1167,1192,1218,1245,1273,1303,1334,1367,1401,1437,1475,1514,1556,1600,1646,1692,1741,1794,1853,1919,1989,2057,2112,2146,2158,2153,2134,2106,2076,2040,2002,1977,1986,2045,2160,2326,2517,2700,2848,2954,3025,3077,3136,3218,3329,3462,3608,3754,3891,4017,4136,4248,4360,4472,4587,4702,4819,4937,5058
73,Mali,Country/Area,4708,4759,4811,4865,4920,4975,5032,5090,5147,5205,5264,5322,5381,5442,5504,5568,5636,5706,5781,5861,5949,6045,6147,6256,6368,6482,6597,6712,6831,6956,7090,7235,7389,7545,7695,7832,7953,8062,8172,8297,8450,8636,8850,9087,9335,9586,9838,10094,10361,10643,10946,11272,11617,11983,12369,12776,13203,13651,14114,14581,15049,15515,15979,16450,16934,17439,17965,18512,19078,19658,20251
74,Mauritania,Country/Area,651,667,683,700,719,738,759,780,803,826,850,876,902,929,957,986,1016,1047,1080,1113,1147,1182,1217,1254,1292,1331,1370,1411,1453,1496,1541,1586,1634,1682,1731,1780,1830,1880,1930,1982,2034,2088,2143,2199,2256,2314,2373,2434,2496,2562,2630,2702,2778,2857,2939,3024,3112,3203,3296,3393,3494,3599,3707,3817,3931,4046,4164,4283,4403,4526,4650
75,Niger,Country/Area,2560,2638,2717,2796,2875,2956,3037,3120,3206,3296,3389,3486,3588,3694,3803,3914,4028,4145,4264,4386,4511,4638,4768,4902,5041,5185,5335,5491,5653,5819,5989,6164,6344,6529,6719,6916,7119,7329,7548,7780,8027,8289,8567,8860,9168,9490,9827,10178,10546,10930,11332,11751,12190,12648,13126,13624,14144,14685,15251,15843,16464,17115,17795,18504,19240,20002,20789,21602,22443,23311,24207
76,Nigeria,Country/Area,37860,38424,39035,39686,40371,41086,41831,42605,43412,44255,45138,46064,47030,48033,49067,50128,51218,52342,53506,54717,55982,57297,58666,60115,61677,63374,65221,67203,69272,71361,73424,75441,77428,79415,81449,83563,85766,88048,90395,92788,95212,97668,100162,102701,105294,107948,110669,113458,116320,119260,122284,125394,128596,131901,135320,138865,142538,146340,150270,154325,158503,162805,167229,171766,176405,181137,185960,190873,195875,200964,206140
77,Saint Helena,Country/Area,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
78,Senegal,Country/Area,2487,2545,2607,2671,2738,2808,2882,2958,3038,3121,3207,3295,3387,3482,3580,3683,3789,3900,4014,4133,4258,4388,4523,4661,4797,4930,5057,5182,5307,5439,5583,5740,5910,6090,6277,6471,6671,6876,7087,7304,7526,7756,7990,8227,8461,8690,8913,9131,9348,9569,9798,10036,10284,10541,10810,11090,11382,11687,12005,12335,12678,13034,13402,13782,14175,14578,14994,15419,15854,16296,16744
79,Sierra Leone,Country/Area,2041,2064,2088,2113,2139,2166,2194,2223,2253,2284,2318,2352,2389,2427,2467,2508,2552,2597,2644,2693,2745,2799,2855,2913,2974,3037,3103,3171,3241,3314,3388,3464,3540,3620,3708,3805,3917,4038,4157,4254,4320,4349,4348,4329,4310,4304,4313,4335,4381,4462,4585,4754,4966,5201,5434,5646,5829,5990,6134,6273,6416,6563,6713,6864,7017,7172,7329,7488,7650,7813,7977
80,Togo,Country/Area,1395,1425,1442,1452,1462,1474,1491,1512,1536,1560,1581,1598,1613,1632,1662,1709,1774,1855,1946,2035,2116,2186,2248,2303,2357,2410,2464,2518,2576,2643,2721,2812,2916,3027,3141,3253,3363,3472,3577,3679,3774,3863,3946,4029,4121,4226,4349,4486,4632,4780,4924,5063,5197,5331,5468,5612,5763,5920,6083,6251,6422,6596,6774,6955,7138,7323,7510,7698,7889,8082,8279
83,Algeria,Country/Area,8872,9023,9186,9364,9560,9774,10006,10254,10514,10783,11058,11336,11620,11913,12222,12551,12903,13275,13664,14062,14465,14872,15286,15710,16149,16608,17086,17583,18102,18648,19222,19824,20453,21102,21764,22432,23102,23774,24443,25106,25759,26400,27028,27636,28214,28758,29266,29743,30193,30623,31042,31452,31855,32264,32692,33150,33641,34167,34731,35334,35977,36661,37384,38140,38924,39728,40551,41389,42228,43053,43851
84,Egypt,Country/Area,20452,20949,21474,22028,22612,23223,23862,24525,25209,25913,26633,27366,28112,28871,29645,30433,31238,32057,32882,33703,34514,35312,36103,36897,37708,38549,39423,40330,41276,42267,43309,44400,45539,46728,47969,49259,50602,51992,53399,54789,56134,57425,58667,59881,61096,62334,63602,64892,66200,67516,68832,70153,71485,72826,74172,75524,76874,78232,79636,81135,82761,84529,86422,88405,90425,92443,94447,96443,98424,100388,102334
85,Libya,Country/Area,1125,1143,1164,1188,1215,1245,1279,1317,1358,1402,1448,1498,1551,1607,1668,1733,1804,1879,1959,2044,2134,2228,2327,2431,2537,2645,2755,2866,2979,3097,3219,3348,3480,3615,3747,3874,3995,4110,4220,4329,4437,4544,4651,4755,4855,4949,5036,5118,5197,5276,5358,5443,5531,5621,5710,5799,5887,5975,6059,6134,6198,6247,6286,6320,6362,6418,6492,6581,6679,6777,6871
86,Morocco,Country/Area,8986,9243,9529,9837,10163,10503,10853,11212,11578,11951,12329,12711,13095,13478,13858,14230,14595,14954,15307,15657,16005,16351,16697,17049,17413,17796,18199,18620,19060,19517,19990,20480,20984,21495,22003,22499,22980,23447,23904,24356,24807,25260,25711,26155,26584,26994,27383,27755,28110,28456,28794,29126,29455,29783,30115,30456,30805,31164,31537,31929,32343,32782,33242,33716,34192,34664,35126,35581,36029,36472,36911
87,Sudan,Country/Area,5734,5885,6041,6204,6373,6549,6732,6923,7122,7329,7544,7769,8004,8249,8504,8770,9048,9338,9640,9954,10282,10621,10975,11344,11733,12144,12578,13035,13510,14002,14507,15027,15562,16108,16658,17210,17757,18303,18868,19477,20148,20891,21696,22528,23338,24095,24782,25414,26016,26627,27275,27971,28705,29461,30214,30950,31662,32361,33061,33784,34545,35350,36194,37073,37978,38903,39847,40813,41802,42813,43849
88,Tunisia,Country/Area,3605,3696,3773,3838,3894,3944,3989,4033,4077,4125,4178,4238,4305,4380,4461,4548,4641,4741,4845,4953,5064,5176,5291,5409,5531,5657,5786,5920,6060,6211,6374,6551,6741,6937,7135,7330,7518,7701,7880,8060,8243,8428,8614,8796,8968,9125,9267,9395,9510,9614,9708,9794,9871,9945,10022,10107,10201,10305,10414,10526,10635,10742,10847,10953,11063,11180,11304,11433,11565,11695,11819
89,Western Sahara,Country/Area,14,16,18,19,20,21,23,25,27,30,33,36,39,42,46,51,57,63,69,74,77,76,73,70,70,75,86,101,119,137,151,161,168,173,177,182,189,195,203,210,217,224,232,239,247,256,264,273,283,297,314,337,363,391,417,438,452,462,469,474,480,488,496,505,515,526,539,553,567,582,597
91,Armenia,Country/Area,1354,1382,1418,1461,1510,1564,1621,1681,1743,1808,1874,1941,2010,2078,2145,2211,2276,2339,2401,2463,2525,2588,2650,2713,2774,2833,2890,2944,2997,3049,3100,3148,3194,3239,3286,3336,3392,3452,3505,3536,3538,3505,3443,3363,3284,3217,3168,3133,3109,3089,3070,3051,3034,3018,3001,2981,2958,2933,2908,2888,2877,2877,2884,2898,2912,2926,2936,2945,2952,2958,2963
92,Azerbaijan,Country/Area,2928,2987,3060,3143,3233,3329,3431,3537,3649,3768,3895,4030,4171,4315,4457,4593,4722,4844,4960,5072,5180,5285,5385,5483,5579,5674,5769,5863,5958,6054,6151,6249,6350,6452,6558,6666,6779,6893,7010,7127,7243,7358,7472,7582,7684,7775,7856,7926,7990,8054,8123,8197,8277,8361,8449,8539,8630,8724,8822,8924,9032,9146,9265,9385,9506,9623,9736,9845,9950,10048,10139
93,Bahrain,Country/Area,116,117,120,123,128,134,139,145,151,157,162,168,173,178,183,187,192,196,201,206,213,220,229,240,252,267,284,303,323,343,360,374,386,396,407,419,433,449,465,481,496,510,523,536,550,564,579,595,614,637,665,698,735,779,830,889,958,1036,1115,1185,1241,1278,1300,1315,1336,1372,1426,1494,1569,1641,1702
94,Cyprus,Country/Area,494,500,507,513,521,530,540,549,559,567,573,576,578,578,579,581,585,591,598,606,614,621,628,635,642,650,658,666,673,680,685,689,692,694,698,704,712,723,736,751,767,783,801,819,837,855,873,891,909,926,943,960,977,994,1010,1028,1046,1064,1082,1098,1113,1125,1135,1144,1152,1161,1170,1180,1189,1199,1207
95,Georgia,Country/Area,3527,3556,3589,3626,3667,3713,3764,3819,3878,3941,4008,4077,4149,4222,4297,4372,4447,4522,4593,4658,4713,4758,4794,4822,4848,4874,4900,4927,4956,4986,5018,5051,5085,5122,5164,5211,5267,5327,5381,5412,5410,5373,5304,5209,5097,4976,4847,4710,4575,4457,4362,4297,4259,4239,4226,4210,4190,4167,4143,4119,4099,4081,4064,4049,4035,4024,4015,4009,4003,3997,3989
96,Iraq,Country/Area,5719,5902,6065,6216,6360,6503,6647,6795,6951,7116,7290,7475,7674,7889,8122,8376,8651,8947,9261,9586,9918,10256,10600,10951,11312,11685,12069,12462,12861,13259,13653,14044,14432,14816,15190,15556,15910,16257,16612,16995,17419,17889,18403,18955,19539,20149,20783,21440,22114,22802,23498,24208,24932,25645,26314,26922,27448,27911,28386,28973,29742,30725,31890,33157,34412,35572,36611,37553,38434,39310,40223
